group;word;z_score;jsd;svm_accuracy
jugoslawien_migration;hintergrund;-7,94;0,39;1,00
jugoslawien_migration;deutschland;7,17;0,39;1,00
jugoslawien_migration;wurzeln;7,03;0,39;1,00
jugoslawien_migration;kulturellen;6,93;0,39;1,00
jugoslawien_migration;freizeit;-6,48;0,39;1,00
jugoslawien_migration;einer;-6,22;0,39;1,00
jugoslawien_migration;heimat;6,22;0,39;1,00
jugoslawien_migration;eltern;5,66;0,39;1,00
jugoslawien_migration;nach;5,66;0,39;1,00
jugoslawien_migration;jahren;5,45;0,39;1,00
jugoslawien_migration;den;5,33;0,39;1,00
jugoslawien_migration;ihre;5,26;0,39;1,00
jugoslawien_migration;braune;5,25;0,39;1,00
jugoslawien_migration;stadt;-5,25;0,39;1,00
jugoslawien_migration;wert;-5,21;0,39;1,00
jugoslawien_migration;traditionelle;5,16;0,39;1,00
jugoslawien_migration;spricht;5,12;0,39;1,00
jugoslawien_migration;gerne;-5,12;0,39;1,00
jugoslawien_migration;gut;-5,04;0,39;1,00
jugoslawien_migration;herkunft;4,90;0,39;1,00
jugoslawien_migration;geboren;4,85;0,39;1,00
jugoslawien_migration;jeans;-4,83;0,39;1,00
jugoslawien_migration;legt;-4,79;0,39;1,00
jugoslawien_migration;groß;-4,76;0,39;1,00
jugoslawien_migration;deutsch;4,72;0,39;1,00
jugoslawien_migration;freunden;-4,58;0,39;1,00
jugoslawien_migration;selbstbewusst;-4,57;0,39;1,00
jugoslawien_migration;oder;-4,47;0,39;1,00
jugoslawien_migration;kultur;4,46;0,39;1,00
jugoslawien_migration;fließend;4,42;0,39;1,00
jugoslawien_migration;blaue;-4,42;0,39;1,00
jugoslawien_migration;kurze;-4,36;0,39;1,00
jugoslawien_migration;traditionen;4,22;0,39;1,00
jugoslawien_migration;natur;-4,21;0,39;1,00
jugoslawien_migration;wie;-4,20;0,39;1,00
jugoslawien_migration;wahrscheinlich;-4,19;0,39;1,00
jugoslawien_migration;hier;4,17;0,39;1,00
jugoslawien_migration;blonde;-4,09;0,39;1,00
jugoslawien_migration;bräuche;4,06;0,39;1,00
jugoslawien_migration;ihrer;3,99;0,39;1,00
jugoslawien_migration;zeit;-3,98;0,39;1,00
jugoslawien_migration;noch;3,93;0,39;1,00
jugoslawien_migration;kulturelle;3,92;0,39;1,00
jugoslawien_migration;land;3,88;0,39;1,00
jugoslawien_migration;ist;-3,87;0,39;1,00
jugoslawien_migration;sprache;3,84;0,39;1,00
jugoslawien_migration;starke;3,83;0,39;1,00
jugoslawien_migration;kleinen;-3,80;0,39;1,00
jugoslawien_migration;deutschen;3,79;0,39;1,00
jugoslawien_migration;gewisse;-3,78;0,39;1,00
jugoslawien_migration;sowohl;3,77;0,39;1,00
jugoslawien_migration;seiner;3,77;0,39;1,00
jugoslawien_migration;mit;3,72;0,39;1,00
jugoslawien_migration;einem;-3,68;0,39;1,00
jugoslawien_migration;wurde;3,68;0,39;1,00
jugoslawien_migration;vor;3,61;0,39;1,00
jugoslawien_migration;gerichte;3,56;0,39;1,00
jugoslawien_migration;verbunden;3,56;0,39;1,00
jugoslawien_migration;bodenständig;-3,55;0,39;1,00
jugoslawien_migration;offen;-3,54;0,39;1,00
jugoslawien_migration;region;-3,54;0,39;1,00
jugoslawien_migration;verbringt;-3,50;0,39;1,00
jugoslawien_migration;seine;3,43;0,39;1,00
jugoslawien_migration;als;3,42;0,39;1,00
jugoslawien_migration;regel;-3,42;0,39;1,00
jugoslawien_migration;haaren;-3,41;0,39;1,00
jugoslawien_migration;sinn;-3,41;0,39;1,00
jugoslawien_migration;spreche;3,40;0,39;1,00
jugoslawien_migration;aufzubauen;3,40;0,39;1,00
jugoslawien_migration;pflegt;3,35;0,39;1,00
jugoslawien_migration;kulturen;3,35;0,39;1,00
jugoslawien_migration;aber;3,34;0,39;1,00
jugoslawien_migration;eher;-3,28;0,39;1,00
