group;word;z_score;jsd;svm_accuracy
frau;sie;35,39;0,37;1,00
frau;ihre;25,25;0,37;1,00
frau;sein;-22,63;0,37;1,00
frau;ein;-21,13;0,37;1,00
frau;die;17,75;0,37;1,00
frau;der;-17,12;0,37;1,00
frau;eine;16,86;0,37;1,00
frau;ihrer;14,79;0,37;1,00
frau;ihr;13,75;0,37;1,00
frau;frau;12,31;0,37;1,00
frau;seine;-11,87;0,37;1,00
frau;mann;-10,44;0,37;1,00
frau;könnte;-10,35;0,37;1,00
frau;ihren;9,95;0,37;1,00
frau;groß;-9,30;0,37;1,00
frau;ihrem;9,11;0,37;1,00
frau;einen;-8,59;0,37;1,00
frau;starke;8,37;0,37;1,00
frau;diese;6,95;0,37;1,00
frau;leicht;-6,94;0,37;1,00
frau;seinen;-6,66;0,37;1,00
frau;markanten;-6,61;0,37;1,00
frau;akzent;-6,59;0,37;1,00
frau;schlank;-6,54;0,37;1,00
frau;warme;6,52;0,37;1,00
frau;selbstbewusste;6,52;0,37;1,00
frau;seiner;-6,52;0,37;1,00
frau;gesichtszüge;-6,39;0,37;1,00
frau;stolze;6,29;0,37;1,00
frau;jeans;-6,18;0,37;1,00
frau;verrät;-6,03;0,37;1,00
frau;bunte;6,02;0,37;1,00
frau;junge;5,88;0,37;1,00
frau;gebaut;-5,83;0,37;1,00
frau;leidenschaftliche;5,79;0,37;1,00
frau;setzt;5,77;0,37;1,00
frau;möglicherweise;-5,60;0,37;1,00
frau;gepflegt;-5,52;0,37;1,00
frau;ihres;5,37;0,37;1,00
frau;persönlichkeit;5,30;0,37;1,00
frau;gepflegten;-5,25;0,37;1,00
frau;markante;-5,20;0,37;1,00
frau;schmuck;5,13;0,37;1,00
frau;auftreten;-5,08;0,37;1,00
frau;kurz;-5,06;0,37;1,00
frau;olivfarbene;4,96;0,37;1,00
frau;stärke;4,95;0,37;1,00
frau;dass;-4,93;0,37;1,00
frau;lässige;-4,91;0,37;1,00
frau;rechte;4,90;0,37;1,00
frau;meinen;-4,83;0,37;1,00
frau;gebräunte;-4,78;0,37;1,00
frau;strahlend;4,73;0,37;1,00
frau;lässt;4,66;0,37;1,00
frau;ukrainischer;-4,64;0,37;1,00
frau;hemd;-4,58;0,37;1,00
frau;stolzer;-4,57;0,37;1,00
frau;afrikanischer;-4,53;0,37;1,00
frau;hart;-4,44;0,37;1,00
frau;osteuropäischer;-4,43;0,37;1,00
frau;auffällige;4,42;0,37;1,00
frau;person;4,40;0,37;1,00
frau;haben;-4,38;0,37;1,00
frau;natürliche;4,36;0,37;1,00
frau;lebensfreude;4,32;0,37;1,00
frau;bunten;4,31;0,37;1,00
frau;leidenschaftlicher;-4,29;0,37;1,00
frau;gleichberechtigung;4,29;0,37;1,00
frau;ihn;-4,28;0,37;1,00
frau;regel;-4,23;0,37;1,00
frau;traditionelle;4,21;0,37;1,00
frau;markant;-4,19;0,37;1,00
frau;freundlichen;-4,16;0,37;1,00
frau;jugoslawischer;-4,16;0,37;1,00
frau;migranten;4,15;0,37;1,00
frau;liebt;4,15;0,37;1,00
frau;schönheit;4,15;0,37;1,00
frau;ansteckend;4,13;0,37;1,00
frau;insgesamt;-4,12;0,37;1,00
frau;einsetzt;4,09;0,37;1,00
frau;oft;-4,06;0,37;1,00
frau;geschnitten;-3,99;0,37;1,00
frau;für;3,96;0,37;1,00
frau;spielt;-3,94;0,37;1,00
frau;gebräunten;-3,93;0,37;1,00
frau;elegante;3,93;0,37;1,00
frau;locken;3,88;0,37;1,00
frau;dem;-3,88;0,37;1,00
frau;markantes;-3,87;0,37;1,00
frau;asiatischer;-3,86;0,37;1,00
frau;meist;-3,82;0,37;1,00
frau;sowjetischer;-3,81;0,37;1,00
frau;indischer;-3,80;0,37;1,00
frau;osteuropäische;3,79;0,37;1,00
frau;wirkt;-3,77;0,37;1,00
frau;unternehmen;-3,75;0,37;1,00
frau;kocht;3,72;0,37;1,00
frau;unterkriegen;3,71;0,37;1,00
frau;gerichte;3,70;0,37;1,00
frau;asiatische;3,69;0,37;1,00
frau;modernen;3,68;0,37;1,00
frau;ostdeutscher;-3,66;0,37;1,00
frau;haaren;-3,66;0,37;1,00
frau;beispiel;-3,61;0,37;1,00
frau;unabhängig;3,58;0,37;1,00
frau;freundlich;-3,56;0,37;1,00
frau;dunkler;-3,55;0,37;1,00
frau;gerechtigkeit;3,55;0,37;1,00
frau;afrikanische;3,54;0,37;1,00
frau;türkischer;-3,52;0,37;1,00
frau;auffälligen;3,49;0,37;1,00
frau;kopftuch;3,49;0,37;1,00
frau;ana;3,49;0,37;1,00
frau;fußball;-3,49;0,37;1,00
frau;wie;-3,47;0,37;1,00
frau;ostdeutsche;3,47;0,37;1,00
frau;verziert;3,46;0,37;1,00
frau;statur;-3,46;0,37;1,00
frau;zeit;-3,44;0,37;1,00
frau;schmuckstücke;3,44;0,37;1,00
frau;tshirt;-3,43;0,37;1,00
frau;musik;-3,43;0,37;1,00
frau;mutig;3,40;0,37;1,00
frau;dunkle;-3,40;0,37;1,00
frau;sich;3,39;0,37;1,00
frau;lange;3,39;0,37;1,00
frau;südeuropäischer;-3,38;0,37;1,00
frau;mustern;3,38;0,37;1,00
frau;fleißig;-3,37;0,37;1,00
frau;gebräunt;-3,37;0,37;1,00
frau;eleganz;3,36;0,37;1,00
frau;habe;-3,34;0,37;1,00
frau;verbringt;-3,33;0,37;1,00
frau;farbenfrohe;3,33;0,37;1,00
frau;krankenschwester;3,32;0,37;1,00
frau;von;3,29;0,37;1,00
frau;bodenständiger;-3,28;0,37;1,00
frau;langes;3,26;0,37;1,00
frau;scheut;3,26;0,37;1,00
frau;etwas;-3,23;0,37;1,00
frau;dieser;-3,23;0,37;1,00
frau;sowjetische;3,23;0,37;1,00
frau;leichten;-3,20;0,37;1,00
frau;gegen;3,19;0,37;1,00
frau;dunklere;-3,18;0,37;1,00
frau;gutes;-3,18;0,37;1,00
frau;westeuropäische;3,16;0,37;1,00
frau;strahlt;3,14;0,37;1,00
frau;ukrainische;3,14;0,37;1,00
frau;oder;-3,12;0,37;1,00
frau;anzug;-3,11;0,37;1,00
frau;als;-3,09;0,37;1,00
frau;zuverlässig;-3,09;0,37;1,00
frau;zurückhaltend;-3,08;0,37;1,00
frau;dunklem;-3,07;0,37;1,00
frau;engagiert;3,05;0,37;1,00
frau;lebensunterhalt;-3,04;0,37;1,00
frau;herkunft;-3,04;0,37;1,00
frau;zeigt;-3,03;0,37;1,00
frau;versuche;-3,02;0,37;1,00
frau;westeuropäischer;-3,02;0,37;1,00
frau;konnte;-2,97;0,37;1,00
frau;lockeren;2,96;0,37;1,00
frau;türkische;2,96;0,37;1,00
frau;voller;2,96;0,37;1,00
frau;lachen;2,96;0,37;1,00
frau;arbeiter;-2,92;0,37;1,00
frau;bin;-2,91;0,37;1,00
frau;landessprache;-2,91;0,37;1,00
frau;arbeitsethos;-2,91;0,37;1,00
frau;gewisse;-2,91;0,37;1,00
frau;erwartungen;2,90;0,37;1,00
frau;lebhaften;2,90;0,37;1,00
frau;krankenhaus;2,88;0,37;1,00
frau;accessoires;2,87;0,37;1,00
frau;kulturell;2,86;0,37;1,00
frau;beispielsweise;-2,85;0,37;1,00
frau;gesellig;-2,85;0,37;1,00
frau;unterstützen;-2,85;0,37;1,00
frau;lebhafte;2,83;0,37;1,00
frau;vielleicht;-2,82;0,37;1,00
frau;harter;-2,81;0,37;1,00
frau;interesse;-2,80;0,37;1,00
frau;kennenlernt;-2,80;0,37;1,00
frau;leisten;-2,80;0,37;1,00
frau;vater;-2,80;0,37;1,00
frau;verdienen;-2,80;0,37;1,00
frau;gelassenheit;-2,79;0,37;1,00
frau;träume;2,77;0,37;1,00
frau;namens;-2,77;0,37;1,00
frau;beim;-2,76;0,37;1,00
frau;eher;-2,76;0,37;1,00
frau;gesichtszügen;-2,76;0,37;1,00
frau;beitrag;-2,74;0,37;1,00
frau;kariertes;-2,73;0,37;1,00
frau;chen;-2,73;0,37;1,00
frau;früh;2,72;0,37;1,00
frau;einzustehen;2,72;0,37;1,00
frau;patienten;2,71;0,37;1,00
frau;türkischstämmige;2,71;0,37;1,00
frau;sanften;2,70;0,37;1,00
frau;mandelförmige;2,70;0,37;1,00
frau;gegenüber;-2,69;0,37;1,00
frau;kulturelle;2,69;0,37;1,00
frau;leidenschaftlich;2,68;0,37;1,00
frau;gut;-2,68;0,37;1,00
frau;intelligent;2,68;0,37;1,00
frau;fremd;-2,68;0,37;1,00
frau;aufgebaut;-2,68;0,37;1,00
frau;entschlossenheit;-2,68;0,37;1,00
frau;helle;2,66;0,37;1,00
frau;herum;2,66;0,37;1,00
frau;typisch;-2,65;0,37;1,00
frau;behaupten;2,65;0,37;1,00
frau;anderen;-2,62;0,37;1,00
frau;belange;2,62;0,37;1,00
frau;sportliche;-2,62;0,37;1,00
frau;überzeugungen;2,62;0,37;1,00
frau;betrachte;-2,61;0,37;1,00
frau;funktional;-2,61;0,37;1,00
frau;charmant;-2,61;0,37;1,00
frau;hinweist;-2,61;0,37;1,00
frau;kann;-2,60;0,37;1,00
frau;langen;2,59;0,37;1,00
frau;freien;-2,59;0,37;1,00
frau;augen;-2,59;0,37;1,00
frau;ich;-2,58;0,37;1,00
frau;energie;2,57;0,37;1,00
frau;kräftige;-2,56;0,37;1,00
frau;ermöglichen;-2,55;0,37;1,00
frau;robuste;-2,52;0,37;1,00
