group;word;z_score;jsd;svm_accuracy
jugoslawien_migration_frau;ein;-8,36;0,49;1,00
jugoslawien_migration_frau;sie;7,93;0,49;1,00
jugoslawien_migration_frau;sein;-6,80;0,49;1,00
jugoslawien_migration_frau;die;6,47;0,49;1,00
jugoslawien_migration_frau;der;-6,04;0,49;1,00
jugoslawien_migration_frau;eine;5,44;0,49;1,00
jugoslawien_migration_frau;hintergrund;-5,28;0,49;1,00
jugoslawien_migration_frau;ihre;4,77;0,49;1,00
jugoslawien_migration_frau;wurzeln;4,34;0,49;1,00
jugoslawien_migration_frau;freizeit;-4,32;0,49;1,00
jugoslawien_migration_frau;heimat;4,29;0,49;1,00
jugoslawien_migration_frau;seine;-4,18;0,49;1,00
jugoslawien_migration_frau;einer;-3,90;0,49;1,00
jugoslawien_migration_frau;eltern;3,65;0,49;1,00
jugoslawien_migration_frau;starke;3,61;0,49;1,00
jugoslawien_migration_frau;gerne;-3,53;0,49;1,00
jugoslawien_migration_frau;wie;-3,49;0,49;1,00
jugoslawien_migration_frau;kulturellen;3,43;0,49;1,00
jugoslawien_migration_frau;kultur;3,39;0,49;1,00
jugoslawien_migration_frau;schätze;-3,35;0,49;1,00
jugoslawien_migration_frau;freunden;-3,28;0,49;1,00
jugoslawien_migration_frau;einen;-3,24;0,49;1,00
jugoslawien_migration_frau;ihren;3,21;0,49;1,00
jugoslawien_migration_frau;jahren;3,20;0,49;1,00
jugoslawien_migration_frau;geboren;3,19;0,49;1,00
jugoslawien_migration_frau;nach;3,17;0,49;1,00
jugoslawien_migration_frau;spricht;3,15;0,49;1,00
jugoslawien_migration_frau;gut;-3,12;0,49;1,00
jugoslawien_migration_frau;ihr;3,11;0,49;1,00
jugoslawien_migration_frau;blaue;-3,10;0,49;1,00
jugoslawien_migration_frau;könnte;-2,97;0,49;1,00
jugoslawien_migration_frau;kleinen;-2,96;0,49;1,00
jugoslawien_migration_frau;freundlich;-2,94;0,49;1,00
jugoslawien_migration_frau;traditionelle;2,93;0,49;1,00
jugoslawien_migration_frau;oder;-2,93;0,49;1,00
jugoslawien_migration_frau;offen;-2,92;0,49;1,00
jugoslawien_migration_frau;einem;-2,90;0,49;1,00
jugoslawien_migration_frau;ist;-2,89;0,49;1,00
jugoslawien_migration_frau;schlank;-2,86;0,49;1,00
jugoslawien_migration_frau;deutsch;2,86;0,49;1,00
jugoslawien_migration_frau;wirkt;-2,81;0,49;1,00
jugoslawien_migration_frau;stadt;-2,79;0,49;1,00
jugoslawien_migration_frau;hier;2,79;0,49;1,00
jugoslawien_migration_frau;wert;-2,70;0,49;1,00
jugoslawien_migration_frau;braune;2,68;0,49;1,00
jugoslawien_migration_frau;noch;2,64;0,49;1,00
jugoslawien_migration_frau;sich;2,63;0,49;1,00
jugoslawien_migration_frau;meinen;-2,61;0,49;1,00
jugoslawien_migration_frau;diese;2,59;0,49;1,00
jugoslawien_migration_frau;spreche;2,59;0,49;1,00
jugoslawien_migration_frau;selbstbewusst;-2,57;0,49;1,00
jugoslawien_migration_frau;trägt;-2,57;0,49;1,00
jugoslawien_migration_frau;gekommen;2,53;0,49;1,00
jugoslawien_migration_frau;gerichte;2,53;0,49;1,00
jugoslawien_migration_frau;stammt;-2,52;0,49;1,00
jugoslawien_migration_frau;bin;-2,48;0,49;1,00
jugoslawien_migration_frau;verbringt;-2,46;0,49;1,00
jugoslawien_migration_frau;vielen;2,46;0,49;1,00
jugoslawien_migration_frau;werte;-2,44;0,49;1,00
jugoslawien_migration_frau;gewisse;-2,42;0,49;1,00
jugoslawien_migration_frau;legt;-2,42;0,49;1,00
jugoslawien_migration_frau;zeit;-2,42;0,49;1,00
jugoslawien_migration_frau;den;2,40;0,49;1,00
jugoslawien_migration_frau;vor;2,39;0,49;1,00
jugoslawien_migration_frau;heimatregion;-2,37;0,49;1,00
jugoslawien_migration_frau;meist;-2,36;0,49;1,00
jugoslawien_migration_frau;akzent;-2,32;0,49;1,00
jugoslawien_migration_frau;hart;-2,31;0,49;1,00
jugoslawien_migration_frau;aufzubauen;2,31;0,49;1,00
jugoslawien_migration_frau;auch;2,26;0,49;1,00
jugoslawien_migration_frau;augen;-2,24;0,49;1,00
jugoslawien_migration_frau;ich;-2,23;0,49;1,00
jugoslawien_migration_frau;deutschen;2,22;0,49;1,00
jugoslawien_migration_frau;land;2,22;0,49;1,00
jugoslawien_migration_frau;verbunden;2,22;0,49;1,00
jugoslawien_migration_frau;stammen;2,15;0,49;1,00
jugoslawien_migration_frau;kind;2,13;0,49;1,00
jugoslawien_migration_frau;persönlichkeit;2,13;0,49;1,00
jugoslawien_migration_frau;pflegt;2,12;0,49;1,00
jugoslawien_migration_frau;fühle;2,07;0,49;1,00
jugoslawien_migration_frau;haut;2,03;0,49;1,00
jugoslawien_migration_frau;wurde;2,03;0,49;1,00
jugoslawien_migration_frau;identität;2,00;0,49;1,00
jugoslawien_migration_frau;mich;1,99;0,49;1,00
jugoslawien_migration_frau;beruf;-1,98;0,49;1,00
ostdeutsch_hintergrund_mann;gerne;-4,90;0,37;1,00
ostdeutsch_hintergrund_mann;seine;4,14;0,37;1,00
ostdeutsch_hintergrund_mann;ich;-4,07;0,37;1,00
ostdeutsch_hintergrund_mann;freizeit;-4,03;0,37;1,00
ostdeutsch_hintergrund_mann;von;3,73;0,37;1,00
ostdeutsch_hintergrund_mann;gesicht;3,67;0,37;1,00
ostdeutsch_hintergrund_mann;den;3,44;0,37;1,00
ostdeutsch_hintergrund_mann;bin;-3,34;0,37;1,00
ostdeutsch_hintergrund_mann;der;3,29;0,37;1,00
ostdeutsch_hintergrund_mann;die;3,28;0,37;1,00
ostdeutsch_hintergrund_mann;eine;3,19;0,37;1,00
ostdeutsch_hintergrund_mann;fußball;-3,00;0,37;1,00
ostdeutsch_hintergrund_mann;gut;-2,93;0,37;1,00
ostdeutsch_hintergrund_mann;oder;-2,91;0,37;1,00
ostdeutsch_hintergrund_mann;offen;-2,90;0,37;1,00
ostdeutsch_hintergrund_mann;ein;-2,85;0,37;1,00
ostdeutsch_hintergrund_mann;freundlich;-2,77;0,37;1,00
ostdeutsch_hintergrund_mann;blonden;-2,75;0,37;1,00
ostdeutsch_hintergrund_mann;freunden;-2,71;0,37;1,00
ostdeutsch_hintergrund_mann;wie;-2,60;0,37;1,00
ostdeutsch_hintergrund_mann;hemd;-2,57;0,37;1,00
ostdeutsch_hintergrund_mann;geprägt;2,47;0,37;1,00
ostdeutsch_hintergrund_mann;gewisse;2,47;0,37;1,00
ostdeutsch_hintergrund_mann;stadt;-2,42;0,37;1,00
ostdeutsch_hintergrund_mann;aber;2,41;0,37;1,00
ostdeutsch_hintergrund_mann;vergangenheit;2,40;0,37;1,00
ostdeutsch_hintergrund_mann;geschichte;2,39;0,37;1,00
ostdeutsch_hintergrund_mann;stammt;-2,35;0,37;1,00
ostdeutsch_hintergrund_mann;wert;-2,35;0,37;1,00
ostdeutsch_hintergrund_mann;markanten;2,30;0,37;1,00
ostdeutsch_hintergrund_mann;blauen;-2,28;0,37;1,00
ostdeutsch_hintergrund_mann;selbstbewusst;-2,27;0,37;1,00
ostdeutsch_hintergrund_mann;etwas;2,25;0,37;1,00
ostdeutsch_hintergrund_mann;arbeit;2,22;0,37;1,00
ostdeutsch_hintergrund_mann;gebaut;-2,19;0,37;1,00
ostdeutsch_hintergrund_mann;jeans;-2,17;0,37;1,00
ostdeutsch_hintergrund_mann;max;-2,13;0,37;1,00
ostdeutsch_hintergrund_mann;zeigt;2,13;0,37;1,00
ostdeutsch_hintergrund_mann;entschlossenheit;2,12;0,37;1,00
ostdeutsch_hintergrund_mann;harter;2,12;0,37;1,00
ostdeutsch_hintergrund_mann;auftreten;-2,06;0,37;1,00
ostdeutsch_hintergrund_mann;sehr;-2,06;0,37;1,00
ostdeutsch_hintergrund_mann;haaren;-2,04;0,37;1,00
ostdeutsch_hintergrund_mann;bei;-2,03;0,37;1,00
ostdeutsch_hintergrund_mann;hatte;2,03;0,37;1,00
ostdeutsch_hintergrund_mann;westen;-2,02;0,37;1,00
ostdeutsch_hintergrund_mann;markant;2,01;0,37;1,00
ostdeutsch_hintergrund_mann;robuste;1,98;0,37;1,00
ostdeutsch_hintergrund_mann;lässige;-1,96;0,37;1,00
ostdeutsch_hintergrund_mann;wandern;-1,96;0,37;1,00
nahost_migration_mann;hintergrund;-5,40;0,43;1,00
nahost_migration_mann;gerne;-4,87;0,43;1,00
nahost_migration_mann;groß;-4,46;0,43;1,00
nahost_migration_mann;freizeit;-4,20;0,43;1,00
nahost_migration_mann;jeans;-4,08;0,43;1,00
nahost_migration_mann;einer;-3,97;0,43;1,00
nahost_migration_mann;bart;3,76;0,43;1,00
nahost_migration_mann;einen;3,67;0,43;1,00
nahost_migration_mann;freunden;-3,61;0,43;1,00
nahost_migration_mann;seine;3,59;0,43;1,00
nahost_migration_mann;dem;3,50;0,43;1,00
nahost_migration_mann;kultur;3,49;0,43;1,00
nahost_migration_mann;aus;3,40;0,43;1,00
nahost_migration_mann;sein;-3,30;0,43;1,00
nahost_migration_mann;gebaut;-3,28;0,43;1,00
nahost_migration_mann;wurzeln;3,23;0,43;1,00
nahost_migration_mann;kulturellen;3,23;0,43;1,00
nahost_migration_mann;ist;-3,22;0,43;1,00
nahost_migration_mann;haaren;-3,20;0,43;1,00
nahost_migration_mann;vor;3,20;0,43;1,00
nahost_migration_mann;gut;-3,17;0,43;1,00
nahost_migration_mann;hemd;-3,17;0,43;1,00
nahost_migration_mann;mich;3,11;0,43;1,00
nahost_migration_mann;der;-3,11;0,43;1,00
nahost_migration_mann;haut;3,04;0,43;1,00
nahost_migration_mann;möglicherweise;2,97;0,43;1,00
nahost_migration_mann;land;2,95;0,43;1,00
nahost_migration_mann;stadt;-2,94;0,43;1,00
nahost_migration_mann;seiner;2,89;0,43;1,00
nahost_migration_mann;ein;-2,83;0,43;1,00
nahost_migration_mann;kräftig;-2,75;0,43;1,00
nahost_migration_mann;wert;-2,74;0,43;1,00
nahost_migration_mann;meine;2,64;0,43;1,00
nahost_migration_mann;leben;2,64;0,43;1,00
nahost_migration_mann;lässige;-2,60;0,43;1,00
nahost_migration_mann;hier;2,57;0,43;1,00
nahost_migration_mann;eine;2,56;0,43;1,00
nahost_migration_mann;kleidung;2,52;0,43;1,00
nahost_migration_mann;legt;-2,51;0,43;1,00
nahost_migration_mann;natur;-2,51;0,43;1,00
nahost_migration_mann;vielen;2,50;0,43;1,00
nahost_migration_mann;eltern;2,50;0,43;1,00
nahost_migration_mann;kleinen;-2,50;0,43;1,00
nahost_migration_mann;sich;2,43;0,43;1,00
nahost_migration_mann;teint;2,43;0,43;1,00
nahost_migration_mann;beim;-2,42;0,43;1,00
nahost_migration_mann;verbringt;-2,42;0,43;1,00
nahost_migration_mann;auftreten;-2,38;0,43;1,00
nahost_migration_mann;war;-2,38;0,43;1,00
nahost_migration_mann;heimat;2,36;0,43;1,00
nahost_migration_mann;traditionelle;2,35;0,43;1,00
nahost_migration_mann;kurz;-2,35;0,43;1,00
nahost_migration_mann;auch;2,33;0,43;1,00
nahost_migration_mann;wie;-2,30;0,43;1,00
nahost_migration_mann;aufzubauen;2,27;0,43;1,00
nahost_migration_mann;gleichzeitig;2,23;0,43;1,00
nahost_migration_mann;spreche;2,18;0,43;1,00
nahost_migration_mann;jahren;2,16;0,43;1,00
nahost_migration_mann;zeit;-2,12;0,43;1,00
nahost_migration_mann;schätze;-2,12;0,43;1,00
nahost_migration_mann;spricht;2,10;0,43;1,00
nahost_migration_mann;arbeite;-2,08;0,43;1,00
nahost_migration_mann;region;-2,08;0,43;1,00
nahost_migration_mann;gesichtszüge;2,08;0,43;1,00
nahost_migration_mann;regel;-2,06;0,43;1,00
nahost_migration_mann;kulturen;2,06;0,43;1,00
nahost_migration_mann;herkunft;1,97;0,43;1,00
nahost_migration_mann;deutsch;1,97;0,43;1,00
nahost_migration_mann;entschlossenheit;1,97;0,43;1,00
suedeuropa_migration_frau;sie;8,28;0,50;1,00
suedeuropa_migration_frau;ein;-8,23;0,50;1,00
suedeuropa_migration_frau;sein;-6,56;0,50;1,00
suedeuropa_migration_frau;der;-6,31;0,50;1,00
suedeuropa_migration_frau;eine;6,11;0,50;1,00
suedeuropa_migration_frau;ihre;4,93;0,50;1,00
suedeuropa_migration_frau;oder;-4,81;0,50;1,00
suedeuropa_migration_frau;die;4,81;0,50;1,00
suedeuropa_migration_frau;ich;-4,16;0,50;1,00
suedeuropa_migration_frau;hintergrund;-4,14;0,50;1,00
suedeuropa_migration_frau;ihr;4,00;0,50;1,00
suedeuropa_migration_frau;groß;-3,82;0,50;1,00
suedeuropa_migration_frau;könnte;-3,80;0,50;1,00
suedeuropa_migration_frau;kultur;3,67;0,50;1,00
suedeuropa_migration_frau;wie;-3,62;0,50;1,00
suedeuropa_migration_frau;haut;3,62;0,50;1,00
suedeuropa_migration_frau;wurzeln;3,52;0,50;1,00
suedeuropa_migration_frau;bin;-3,46;0,50;1,00
suedeuropa_migration_frau;spricht;3,33;0,50;1,00
suedeuropa_migration_frau;gut;-3,27;0,50;1,00
suedeuropa_migration_frau;haaren;-3,19;0,50;1,00
suedeuropa_migration_frau;ihren;3,16;0,50;1,00
suedeuropa_migration_frau;schätze;-3,15;0,50;1,00
suedeuropa_migration_frau;freunden;-3,14;0,50;1,00
suedeuropa_migration_frau;einer;-3,06;0,50;1,00
suedeuropa_migration_frau;braune;3,02;0,50;1,00
suedeuropa_migration_frau;heimat;3,02;0,50;1,00
suedeuropa_migration_frau;kulturellen;3,01;0,50;1,00
suedeuropa_migration_frau;stadt;-2,93;0,50;1,00
suedeuropa_migration_frau;leidenschaftlich;2,87;0,50;1,00
suedeuropa_migration_frau;diese;2,82;0,50;1,00
suedeuropa_migration_frau;persönlichkeit;2,82;0,50;1,00
suedeuropa_migration_frau;offen;-2,82;0,50;1,00
suedeuropa_migration_frau;freundlich;-2,81;0,50;1,00
suedeuropa_migration_frau;ist;-2,78;0,50;1,00
suedeuropa_migration_frau;auftreten;-2,74;0,50;1,00
suedeuropa_migration_frau;leben;2,67;0,50;1,00
suedeuropa_migration_frau;seinen;-2,66;0,50;1,00
suedeuropa_migration_frau;heimatregion;-2,59;0,50;1,00
suedeuropa_migration_frau;gerne;-2,51;0,50;1,00
suedeuropa_migration_frau;habe;-2,44;0,50;1,00
suedeuropa_migration_frau;dorf;2,43;0,50;1,00
suedeuropa_migration_frau;meiner;-2,41;0,50;1,00
suedeuropa_migration_frau;vor;2,37;0,50;1,00
suedeuropa_migration_frau;haben;-2,35;0,50;1,00
suedeuropa_migration_frau;von;2,34;0,50;1,00
suedeuropa_migration_frau;sich;2,31;0,50;1,00
suedeuropa_migration_frau;arbeitet;-2,29;0,50;1,00
suedeuropa_migration_frau;gerichte;2,28;0,50;1,00
suedeuropa_migration_frau;voller;2,28;0,50;1,00
suedeuropa_migration_frau;liebt;2,28;0,50;1,00
suedeuropa_migration_frau;starke;2,28;0,50;1,00
suedeuropa_migration_frau;leidenschaft;2,24;0,50;1,00
suedeuropa_migration_frau;wirkt;-2,20;0,50;1,00
suedeuropa_migration_frau;energie;2,19;0,50;1,00
suedeuropa_migration_frau;teint;2,19;0,50;1,00
suedeuropa_migration_frau;beim;-2,17;0,50;1,00
suedeuropa_migration_frau;werte;-2,17;0,50;1,00
suedeuropa_migration_frau;herkunft;2,12;0,50;1,00
suedeuropa_migration_frau;strahlt;2,12;0,50;1,00
suedeuropa_migration_frau;selbstbewusst;-2,10;0,50;1,00
suedeuropa_migration_frau;land;2,09;0,50;1,00
suedeuropa_migration_frau;arbeite;-2,07;0,50;1,00
suedeuropa_migration_frau;insgesamt;-2,07;0,50;1,00
suedeuropa_migration_frau;namens;-2,07;0,50;1,00
suedeuropa_migration_frau;selbstbewusstsein;-2,07;0,50;1,00
suedeuropa_migration_frau;ausstrahlung;2,05;0,50;1,00
suedeuropa_migration_frau;leichten;-2,04;0,50;1,00
suedeuropa_migration_frau;liebe;2,00;0,50;1,00
suedeuropa_migration_frau;kochen;1,98;0,50;1,00
osteuropa_migration_mann;gerne;-5,26;0,42;1,00
osteuropa_migration_mann;einer;-4,37;0,42;1,00
osteuropa_migration_mann;jeans;-4,21;0,42;1,00
osteuropa_migration_mann;freizeit;-4,16;0,42;1,00
osteuropa_migration_mann;groß;-3,79;0,42;1,00
osteuropa_migration_mann;seine;3,61;0,42;1,00
osteuropa_migration_mann;freunden;-3,52;0,42;1,00
osteuropa_migration_mann;oder;-3,52;0,42;1,00
osteuropa_migration_mann;aber;3,50;0,42;1,00
osteuropa_migration_mann;eine;3,34;0,42;1,00
osteuropa_migration_mann;nicht;3,22;0,42;1,00
osteuropa_migration_mann;land;3,18;0,42;1,00
osteuropa_migration_mann;wurzeln;3,13;0,42;1,00
osteuropa_migration_mann;blaue;-3,03;0,42;1,00
osteuropa_migration_mann;fußball;-3,03;0,42;1,00
osteuropa_migration_mann;hemd;-3,03;0,42;1,00
osteuropa_migration_mann;kulturellen;3,02;0,42;1,00
osteuropa_migration_mann;stadt;-2,91;0,42;1,00
osteuropa_migration_mann;dass;2,87;0,42;1,00
osteuropa_migration_mann;wie;-2,84;0,42;1,00
osteuropa_migration_mann;markante;2,81;0,42;1,00
osteuropa_migration_mann;akzent;2,78;0,42;1,00
osteuropa_migration_mann;ein;-2,78;0,42;1,00
osteuropa_migration_mann;entschlossenheit;2,77;0,42;1,00
osteuropa_migration_mann;trägt;-2,71;0,42;1,00
osteuropa_migration_mann;schlank;-2,67;0,42;1,00
osteuropa_migration_mann;heimat;2,64;0,42;1,00
osteuropa_migration_mann;offen;-2,61;0,42;1,00
osteuropa_migration_mann;deutsch;2,59;0,42;1,00
osteuropa_migration_mann;gesichtszüge;2,59;0,42;1,00
osteuropa_migration_mann;dem;-2,59;0,42;1,00
osteuropa_migration_mann;verrät;2,56;0,42;1,00
osteuropa_migration_mann;vor;2,50;0,42;1,00
osteuropa_migration_mann;leben;2,50;0,42;1,00
osteuropa_migration_mann;freundlich;-2,48;0,42;1,00
osteuropa_migration_mann;der;-2,46;0,42;1,00
osteuropa_migration_mann;aufzubauen;2,45;0,42;1,00
osteuropa_migration_mann;heimatregion;-2,45;0,42;1,00
osteuropa_migration_mann;lässige;-2,45;0,42;1,00
osteuropa_migration_mann;gebaut;-2,44;0,42;1,00
osteuropa_migration_mann;bodenständiger;-2,40;0,42;1,00
osteuropa_migration_mann;spricht;2,39;0,42;1,00
osteuropa_migration_mann;neuen;2,39;0,42;1,00
osteuropa_migration_mann;kultur;2,37;0,42;1,00
osteuropa_migration_mann;beim;-2,35;0,42;1,00
osteuropa_migration_mann;verbringt;-2,35;0,42;1,00
osteuropa_migration_mann;jahren;2,34;0,42;1,00
osteuropa_migration_mann;statur;2,33;0,42;1,00
osteuropa_migration_mann;haaren;-2,30;0,42;1,00
osteuropa_migration_mann;starke;2,30;0,42;1,00
osteuropa_migration_mann;haut;2,29;0,42;1,00
osteuropa_migration_mann;zukunft;2,29;0,42;1,00
osteuropa_migration_mann;hier;2,26;0,42;1,00
osteuropa_migration_mann;dorf;2,21;0,42;1,00
osteuropa_migration_mann;fleißig;2,21;0,42;1,00
osteuropa_migration_mann;gesellschaft;2,20;0,42;1,00
osteuropa_migration_mann;mensch;-2,15;0,42;1,00
osteuropa_migration_mann;stets;2,10;0,42;1,00
osteuropa_migration_mann;schätze;-2,06;0,42;1,00
osteuropa_migration_mann;arbeite;-2,06;0,42;1,00
osteuropa_migration_mann;dialekt;-2,06;0,42;1,00
osteuropa_migration_mann;kurze;-2,06;0,42;1,00
osteuropa_migration_mann;region;-2,06;0,42;1,00
osteuropa_migration_mann;regel;-2,01;0,42;1,00
osteuropa_migration_mann;sich;2,00;0,42;1,00
osteuropa_migration_mann;geboren;1,99;0,42;1,00
osteuropa_migration_mann;mich;1,99;0,42;1,00
osteuropa_migration_mann;gekommen;1,99;0,42;1,00
osteuropa_migration_mann;vielen;1,99;0,42;1,00
osteuropa_migration_mann;seinem;1,99;0,42;1,00
indien_migration_frau;sie;7,77;0,52;1,00
indien_migration_frau;ein;-7,75;0,52;1,00
indien_migration_frau;die;6,79;0,52;1,00
indien_migration_frau;sein;-6,59;0,52;1,00
indien_migration_frau;der;-6,54;0,52;1,00
indien_migration_frau;eine;5,38;0,52;1,00
indien_migration_frau;ihre;4,58;0,52;1,00
indien_migration_frau;wurzeln;4,39;0,52;1,00
indien_migration_frau;traditionelle;4,23;0,52;1,00
indien_migration_frau;hintergrund;-4,22;0,52;1,00
indien_migration_frau;jeans;-4,17;0,52;1,00
indien_migration_frau;freizeit;-4,13;0,52;1,00
indien_migration_frau;kultur;3,97;0,52;1,00
indien_migration_frau;ihr;3,81;0,52;1,00
indien_migration_frau;ich;-3,39;0,52;1,00
indien_migration_frau;ist;-3,38;0,52;1,00
indien_migration_frau;kleidung;3,36;0,52;1,00
indien_migration_frau;könnte;-3,34;0,52;1,00
indien_migration_frau;freunden;-3,31;0,52;1,00
indien_migration_frau;gut;-3,30;0,52;1,00
indien_migration_frau;haaren;-3,30;0,52;1,00
indien_migration_frau;kulturellen;3,23;0,52;1,00
indien_migration_frau;sind;3,18;0,52;1,00
indien_migration_frau;haut;3,13;0,52;1,00
indien_migration_frau;kleinen;-3,12;0,52;1,00
indien_migration_frau;bin;-3,04;0,52;1,00
indien_migration_frau;gerne;-3,00;0,52;1,00
indien_migration_frau;einer;-2,91;0,52;1,00
indien_migration_frau;freundlich;-2,88;0,52;1,00
indien_migration_frau;stadt;-2,88;0,52;1,00
indien_migration_frau;wert;-2,84;0,52;1,00
indien_migration_frau;von;2,83;0,52;1,00
indien_migration_frau;auftreten;-2,81;0,52;1,00
indien_migration_frau;war;-2,81;0,52;1,00
indien_migration_frau;offen;-2,79;0,52;1,00
indien_migration_frau;vor;2,75;0,52;1,00
indien_migration_frau;dem;-2,74;0,52;1,00
indien_migration_frau;lächeln;2,70;0,52;1,00
indien_migration_frau;schätze;-2,66;0,52;1,00
indien_migration_frau;meinen;-2,66;0,52;1,00
indien_migration_frau;leichten;-2,60;0,52;1,00
indien_migration_frau;legt;-2,58;0,52;1,00
indien_migration_frau;natur;-2,58;0,52;1,00
indien_migration_frau;selbstbewusst;-2,58;0,52;1,00
indien_migration_frau;stammt;-2,56;0,52;1,00
indien_migration_frau;einen;-2,55;0,52;1,00
indien_migration_frau;leben;2,53;0,52;1,00
indien_migration_frau;auf;-2,51;0,52;1,00
indien_migration_frau;beim;-2,47;0,52;1,00
indien_migration_frau;gewisse;-2,45;0,52;1,00
indien_migration_frau;aufzubauen;2,44;0,52;1,00
indien_migration_frau;warm;2,44;0,52;1,00
indien_migration_frau;akzent;-2,38;0,52;1,00
indien_migration_frau;meine;2,37;0,52;1,00
indien_migration_frau;einladend;2,36;0,52;1,00
indien_migration_frau;vielen;2,36;0,52;1,00
indien_migration_frau;hier;2,35;0,52;1,00
indien_migration_frau;leicht;-2,33;0,52;1,00
indien_migration_frau;eltern;2,33;0,52;1,00
indien_migration_frau;ihren;2,32;0,52;1,00
indien_migration_frau;gerichte;2,29;0,52;1,00
indien_migration_frau;pflegt;2,21;0,52;1,00
indien_migration_frau;sich;2,21;0,52;1,00
indien_migration_frau;diese;2,20;0,52;1,00
indien_migration_frau;teint;2,20;0,52;1,00
indien_migration_frau;art;-2,15;0,52;1,00
indien_migration_frau;bei;-2,15;0,52;1,00
indien_migration_frau;verrät;-2,15;0,52;1,00
indien_migration_frau;wahrscheinlich;-2,15;0,52;1,00
indien_migration_frau;spricht;2,12;0,52;1,00
indien_migration_frau;geboren;2,12;0,52;1,00
indien_migration_frau;gekommen;2,11;0,52;1,00
indien_migration_frau;sehr;-2,10;0,52;1,00
indien_migration_frau;freundlichkeit;2,09;0,52;1,00
indien_migration_frau;als;-2,08;0,52;1,00
