group;word;z_score;jsd;svm_accuracy
jugoslawien_migration;deutschland;9,95;0,40;1,00
jugoslawien_migration;hintergrund;-8,22;0,40;1,00
jugoslawien_migration;familie;8,13;0,40;1,00
jugoslawien_migration;aufgewachsen;-8,07;0,40;1,00
jugoslawien_migration;alex;-7,71;0,40;1,00
jugoslawien_migration;ehemaligen;7,48;0,40;1,00
jugoslawien_migration;wurzeln;7,03;0,40;1,00
jugoslawien_migration;war;-6,77;0,40;1,00
jugoslawien_migration;einer;-6,59;0,40;1,00
jugoslawien_migration;eltern;6,35;0,40;1,00
jugoslawien_migration;oder;-6,33;0,40;1,00
jugoslawien_migration;aus;5,98;0,40;1,00
jugoslawien_migration;stadt;-5,89;0,40;1,00
jugoslawien_migration;nach;5,24;0,40;1,00
jugoslawien_migration;geprägt;-5,05;0,40;1,00
jugoslawien_migration;wert;-5,03;0,40;1,00
jugoslawien_migration;stammt;4,95;0,40;1,00
jugoslawien_migration;vielleicht;-4,88;0,40;1,00
jugoslawien_migration;geschichten;4,87;0,40;1,00
jugoslawien_migration;geboren;4,74;0,40;1,00
jugoslawien_migration;des;4,65;0,40;1,00
jugoslawien_migration;ihrer;4,61;0,40;1,00
jugoslawien_migration;legt;-4,57;0,40;1,00
jugoslawien_migration;seine;4,48;0,40;1,00
jugoslawien_migration;könnte;-4,39;0,40;1,00
jugoslawien_migration;vater;-4,39;0,40;1,00
jugoslawien_migration;westdeutschland;-4,26;0,40;1,00
jugoslawien_migration;land;4,26;0,40;1,00
jugoslawien_migration;auf;-4,24;0,40;1,00
jugoslawien_migration;1990er;4,13;0,40;1,00
jugoslawien_migration;sein;-4,09;0,40;1,00
jugoslawien_migration;bundesrepublik;-4,07;0,40;1,00
jugoslawien_migration;zwei;4,05;0,40;1,00
jugoslawien_migration;ursprünglich;3,99;0,40;1,00
jugoslawien_migration;ihre;3,97;0,40;1,00
jugoslawien_migration;kleinstadt;-3,92;0,40;1,00
jugoslawien_migration;umgebung;-3,85;0,40;1,00
jugoslawien_migration;jahren;3,77;0,40;1,00
jugoslawien_migration;mutter;-3,74;0,40;1,00
jugoslawien_migration;kleinen;-3,71;0,40;1,00
jugoslawien_migration;meine;3,71;0,40;1,00
jugoslawien_migration;mittelgroßen;-3,68;0,40;1,00
jugoslawien_migration;stammen;3,62;0,40;1,00
jugoslawien_migration;während;3,54;0,40;1,00
jugoslawien_migration;meiner;3,53;0,40;1,00
jugoslawien_migration;tief;3,53;0,40;1,00
jugoslawien_migration;mehr;3,50;0,40;1,00
jugoslawien_migration;identität;3,46;0,40;1,00
jugoslawien_migration;deutschlands;-3,44;0,40;1,00
jugoslawien_migration;soziale;-3,42;0,40;1,00
jugoslawien_migration;welten;3,42;0,40;1,00
jugoslawien_migration;eher;-3,40;0,40;1,00
jugoslawien_migration;heimat;3,38;0,40;1,00
jugoslawien_migration;umfeld;-3,35;0,40;1,00
jugoslawien_migration;liegen;3,34;0,40;1,00
jugoslawien_migration;werte;-3,34;0,40;1,00
jugoslawien_migration;schätzt;-3,32;0,40;1,00
jugoslawien_migration;waren;-3,29;0,40;1,00
