group;word;z_score;jsd;svm_accuracy
frau;sie;29,42;0,30;1,00
frau;ihre;26,66;0,30;1,00
frau;ihrer;15,13;0,30;1,00
frau;ein;-15,12;0,30;1,00
frau;ihr;14,76;0,30;1,00
frau;seine;-14,54;0,30;1,00
frau;mann;-11,06;0,30;1,00
frau;sein;-10,44;0,30;1,00
frau;seiner;-9,70;0,30;1,00
frau;eines;-9,57;0,30;1,00
frau;eine;8,66;0,30;1,00
frau;ihren;8,41;0,30;1,00
frau;ihrem;8,06;0,30;1,00
frau;leicht;-6,96;0,30;1,00
frau;seinen;-6,80;0,30;1,00
frau;frau;6,69;0,30;1,00
frau;kurz;-6,17;0,30;1,00
frau;statur;-6,04;0,30;1,00
frau;gesicht;-5,98;0,30;1,00
frau;gepflegten;-5,84;0,30;1,00
frau;einen;-5,75;0,30;1,00
frau;ihn;-5,62;0,30;1,00
frau;groß;-5,60;0,30;1,00
frau;etwa;-5,53;0,30;1,00
frau;schultern;5,49;0,30;1,00
frau;dessen;-5,44;0,30;1,00
frau;person;-5,43;0,30;1,00
frau;mensch;-5,42;0,30;1,00
frau;ihres;5,33;0,30;1,00
frau;jemand;-5,31;0,30;1,00
frau;geschnitten;-5,14;0,30;1,00
frau;gepflegt;-5,03;0,30;1,00
frau;ordentlich;-4,99;0,30;1,00
frau;aussehen;-4,96;0,30;1,00
frau;offen;4,87;0,30;1,00
frau;liebe;4,83;0,30;1,00
frau;persönlichkeit;4,64;0,30;1,00
frau;markanten;-4,64;0,30;1,00
frau;stärke;4,61;0,30;1,00
frau;natürlichen;4,60;0,30;1,00
frau;lockeren;4,59;0,30;1,00
frau;ihm;-4,59;0,30;1,00
frau;klar;-4,56;0,30;1,00
frau;jeans;-4,54;0,30;1,00
frau;identität;4,51;0,30;1,00
frau;eleganz;4,46;0,30;1,00
frau;fällt;4,40;0,30;1,00
frau;eher;-4,37;0,30;1,00
frau;wellen;4,37;0,30;1,00
frau;stereotype;-4,36;0,30;1,00
frau;leyla;4,36;0,30;1,00
frau;lange;4,21;0,30;1,00
frau;junge;4,21;0,30;1,00
frau;entschlossenheit;4,17;0,30;1,00
frau;einer;4,12;0,30;1,00
frau;kurze;-3,98;0,30;1,00
frau;hemd;-3,96;0,30;1,00
frau;kulturen;3,89;0,30;1,00
frau;sanften;3,86;0,30;1,00
frau;etwas;-3,83;0,30;1,00
frau;wieder;-3,82;0,30;1,00
frau;sofia;3,77;0,30;1,00
frau;selbstbewusste;3,74;0,30;1,00
frau;meter;-3,74;0,30;1,00
frau;kurzen;-3,69;0,30;1,00
frau;wärme;3,69;0,30;1,00
frau;ingenieur;-3,69;0,30;1,00
frau;locker;3,67;0,30;1,00
frau;dunkel;-3,62;0,30;1,00
frau;elena;3,62;0,30;1,00
frau;tochter;3,59;0,30;1,00
frau;natürliche;3,56;0,30;1,00
frau;mitte;-3,55;0,30;1,00
frau;die;3,55;0,30;1,00
frau;gestylt;-3,48;0,30;1,00
frau;hallo;3,47;0,30;1,00
frau;starke;3,45;0,30;1,00
frau;kunst;3,45;0,30;1,00
frau;freundlichen;-3,44;0,30;1,00
frau;strahlen;3,39;0,30;1,00
frau;variieren;-3,37;0,30;1,00
frau;warmherzige;3,35;0,30;1,00
frau;gepflegte;-3,35;0,30;1,00
frau;meisten;-3,34;0,30;1,00
frau;wurzeln;3,33;0,30;1,00
frau;freizeit;-3,33;0,30;1,00
frau;mittelständischen;-3,33;0,30;1,00
frau;eleganten;3,32;0,30;1,00
frau;gebunden;3,32;0,30;1,00
frau;zwischen;3,32;0,30;1,00
frau;menschen;-3,31;0,30;1,00
frau;stil;3,30;0,30;1,00
frau;kann;-3,29;0,30;1,00
frau;mittleren;-3,28;0,30;1,00
frau;verleihen;-3,28;0,30;1,00
frau;fallen;3,26;0,30;1,00
frau;markant;-3,25;0,30;1,00
frau;schlanker;-3,25;0,30;1,00
frau;zwei;3,24;0,30;1,00
frau;sportlich;-3,21;0,30;1,00
frau;geschichten;3,21;0,30;1,00
frau;sportlichen;-3,20;0,30;1,00
frau;muster;3,19;0,30;1,00
frau;neutrale;-3,19;0,30;1,00
frau;bildung;3,19;0,30;1,00
frau;dichtes;-3,19;0,30;1,00
frau;arbeit;-3,18;0,30;1,00
frau;leuchten;3,17;0,30;1,00
frau;individualität;3,16;0,30;1,00
frau;uns;-3,15;0,30;1,00
frau;kurzes;-3,14;0,30;1,00
frau;elegante;3,14;0,30;1,00
frau;karim;-3,10;0,30;1,00
frau;freundlich;-3,09;0,30;1,00
frau;schlicht;-3,09;0,30;1,00
frau;moderne;3,08;0,30;1,00
frau;mischung;3,07;0,30;1,00
frau;malik;-3,06;0,30;1,00
frau;bringt;3,06;0,30;1,00
frau;sich;3,06;0,30;1,00
frau;schlank;-3,04;0,30;1,00
frau;deren;3,04;0,30;1,00
frau;hautfarbe;-3,03;0,30;1,00
frau;damals;-3,02;0,30;1,00
frau;mode;3,02;0,30;1,00
frau;ruhrgebiet;-3,01;0,30;1,00
frau;hemden;-3,00;0,30;1,00
frau;sohn;-3,00;0,30;1,00
frau;fähigkeit;2,99;0,30;1,00
frau;herzen;2,96;0,30;1,00
frau;glänzendes;2,95;0,30;1,00
frau;mustern;2,93;0,30;1,00
frau;aspekte;2,92;0,30;1,00
frau;gearbeitet;-2,91;0,30;1,00
frau;gleichzeitig;2,91;0,30;1,00
frau;athletische;-2,90;0,30;1,00
frau;mittelgroß;-2,90;0,30;1,00
frau;unordentlich;-2,90;0,30;1,00
frau;mittellanges;2,90;0,30;1,00
frau;schimmer;2,89;0,30;1,00
frau;zielstrebige;2,89;0,30;1,00
frau;markante;-2,87;0,30;1,00
frau;beruf;-2,87;0,30;1,00
frau;traditionen;2,86;0,30;1,00
frau;aufgewachsen;2,85;0,30;1,00
frau;gebaut;-2,84;0,30;1,00
frau;dieser;-2,83;0,30;1,00
