group;word;z_score;jsd;svm_accuracy
jugoslawien_migration_frau;sie;7,71;0,46;1,00
jugoslawien_migration_frau;ihre;6,60;0,46;1,00
jugoslawien_migration_frau;hintergrund;-5,74;0,46;1,00
jugoslawien_migration_frau;deutschland;5,34;0,46;1,00
jugoslawien_migration_frau;familie;4,85;0,46;1,00
jugoslawien_migration_frau;war;-4,59;0,46;1,00
jugoslawien_migration_frau;ein;-4,46;0,46;1,00
jugoslawien_migration_frau;oder;-4,44;0,46;1,00
jugoslawien_migration_frau;aufgewachsen;-4,35;0,46;1,00
jugoslawien_migration_frau;wurzeln;4,22;0,46;1,00
jugoslawien_migration_frau;aus;4,11;0,46;1,00
jugoslawien_migration_frau;ehemaligen;4,04;0,46;1,00
jugoslawien_migration_frau;vater;-3,90;0,46;1,00
jugoslawien_migration_frau;vielleicht;-3,66;0,46;1,00
jugoslawien_migration_frau;eltern;3,61;0,46;1,00
jugoslawien_migration_frau;ihrer;3,56;0,46;1,00
jugoslawien_migration_frau;sein;-3,49;0,46;1,00
jugoslawien_migration_frau;person;-3,48;0,46;1,00
jugoslawien_migration_frau;auf;-3,45;0,46;1,00
jugoslawien_migration_frau;ihr;3,43;0,46;1,00
jugoslawien_migration_frau;mutter;-3,31;0,46;1,00
jugoslawien_migration_frau;leben;3,13;0,46;1,00
jugoslawien_migration_frau;stadt;-3,08;0,46;1,00
jugoslawien_migration_frau;eines;-3,02;0,46;1,00
jugoslawien_migration_frau;wert;-2,96;0,46;1,00
jugoslawien_migration_frau;könnte;-2,94;0,46;1,00
jugoslawien_migration_frau;land;2,83;0,46;1,00
jugoslawien_migration_frau;legt;-2,81;0,46;1,00
jugoslawien_migration_frau;bundesrepublik;-2,78;0,46;1,00
jugoslawien_migration_frau;einem;-2,75;0,46;1,00
jugoslawien_migration_frau;zwei;2,73;0,46;1,00
jugoslawien_migration_frau;geschichten;2,65;0,46;1,00
jugoslawien_migration_frau;die;2,64;0,46;1,00
jugoslawien_migration_frau;meine;2,61;0,46;1,00
jugoslawien_migration_frau;vor;-2,61;0,46;1,00
jugoslawien_migration_frau;jahren;2,58;0,46;1,00
jugoslawien_migration_frau;waren;-2,57;0,46;1,00
jugoslawien_migration_frau;tief;2,56;0,46;1,00
jugoslawien_migration_frau;kleinen;-2,50;0,46;1,00
jugoslawien_migration_frau;ingenieur;-2,48;0,46;1,00
jugoslawien_migration_frau;typischen;-2,48;0,46;1,00
jugoslawien_migration_frau;stammt;2,48;0,46;1,00
jugoslawien_migration_frau;kleidung;-2,44;0,46;1,00
jugoslawien_migration_frau;kleinstadt;-2,44;0,46;1,00
jugoslawien_migration_frau;1990er;2,38;0,46;1,00
jugoslawien_migration_frau;nach;2,37;0,46;1,00
jugoslawien_migration_frau;anderen;2,34;0,46;1,00
jugoslawien_migration_frau;selbst;2,34;0,46;1,00
jugoslawien_migration_frau;beispiel;-2,33;0,46;1,00
jugoslawien_migration_frau;mischung;2,31;0,46;1,00
jugoslawien_migration_frau;mehr;2,30;0,46;1,00
jugoslawien_migration_frau;ordnung;-2,29;0,46;1,00
jugoslawien_migration_frau;werte;-2,29;0,46;1,00
jugoslawien_migration_frau;ihrem;2,28;0,46;1,00
jugoslawien_migration_frau;werden;-2,25;0,46;1,00
jugoslawien_migration_frau;merkmale;-2,23;0,46;1,00
jugoslawien_migration_frau;kann;-2,23;0,46;1,00
jugoslawien_migration_frau;liebe;2,23;0,46;1,00
jugoslawien_migration_frau;seiner;-2,20;0,46;1,00
jugoslawien_migration_frau;irgendwo;-2,17;0,46;1,00
jugoslawien_migration_frau;augen;2,15;0,46;1,00
jugoslawien_migration_frau;beschreibung;-2,11;0,46;1,00
jugoslawien_migration_frau;ausstrahlung;2,11;0,46;1,00
jugoslawien_migration_frau;stärke;2,11;0,46;1,00
jugoslawien_migration_frau;persönlichkeit;2,10;0,46;1,00
jugoslawien_migration_frau;hauptfigur;-2,07;0,46;1,00
jugoslawien_migration_frau;meist;-2,07;0,46;1,00
jugoslawien_migration_frau;gearbeitet;-2,04;0,46;1,00
jugoslawien_migration_frau;einer;-2,02;0,46;1,00
jugoslawien_migration_frau;liegen;2,01;0,46;1,00
jugoslawien_migration_frau;stolz;2,00;0,46;1,00
ostdeutsch_hintergrund_mann;nicht;3,69;0,40;1,00
ostdeutsch_hintergrund_mann;oder;-3,53;0,40;1,00
ostdeutsch_hintergrund_mann;hat;3,50;0,40;1,00
ostdeutsch_hintergrund_mann;einer;-3,49;0,40;1,00
ostdeutsch_hintergrund_mann;der;3,32;0,40;1,00
ostdeutsch_hintergrund_mann;ehemaligen;3,07;0,40;1,00
ostdeutsch_hintergrund_mann;wir;2,95;0,40;1,00
ostdeutsch_hintergrund_mann;noch;2,68;0,40;1,00
ostdeutsch_hintergrund_mann;fußball;-2,54;0,40;1,00
ostdeutsch_hintergrund_mann;pünktlichkeit;-2,53;0,40;1,00
ostdeutsch_hintergrund_mann;aufgewachsen;-2,51;0,40;1,00
ostdeutsch_hintergrund_mann;hatten;2,50;0,40;1,00
ostdeutsch_hintergrund_mann;irgendwie;2,50;0,40;1,00
ostdeutsch_hintergrund_mann;von;2,46;0,40;1,00
ostdeutsch_hintergrund_mann;beispiel;-2,45;0,40;1,00
ostdeutsch_hintergrund_mann;hauptfigur;-2,44;0,40;1,00
ostdeutsch_hintergrund_mann;gemeinschaft;2,42;0,40;1,00
ostdeutsch_hintergrund_mann;ingenieur;-2,42;0,40;1,00
ostdeutsch_hintergrund_mann;nähe;2,39;0,40;1,00
ostdeutsch_hintergrund_mann;die;2,39;0,40;1,00
ostdeutsch_hintergrund_mann;hemd;-2,38;0,40;1,00
ostdeutsch_hintergrund_mann;kleinstadt;-2,38;0,40;1,00
ostdeutsch_hintergrund_mann;meiner;-2,35;0,40;1,00
ostdeutsch_hintergrund_mann;arbeit;2,35;0,40;1,00
ostdeutsch_hintergrund_mann;während;-2,29;0,40;1,00
ostdeutsch_hintergrund_mann;neutrale;2,25;0,40;1,00
ostdeutsch_hintergrund_mann;welt;2,25;0,40;1,00
ostdeutsch_hintergrund_mann;damals;2,20;0,40;1,00
ostdeutsch_hintergrund_mann;hände;2,14;0,40;1,00
ostdeutsch_hintergrund_mann;republik;2,14;0,40;1,00
ostdeutsch_hintergrund_mann;zurückhaltend;-2,14;0,40;1,00
ostdeutsch_hintergrund_mann;auch;2,14;0,40;1,00
ostdeutsch_hintergrund_mann;viele;2,12;0,40;1,00
ostdeutsch_hintergrund_mann;leben;2,08;0,40;1,00
ostdeutsch_hintergrund_mann;ehemalige;2,03;0,40;1,00
ostdeutsch_hintergrund_mann;vater;-2,03;0,40;1,00
ostdeutsch_hintergrund_mann;seine;2,02;0,40;1,00
ostdeutsch_hintergrund_mann;alles;2,01;0,40;1,00
ostdeutsch_hintergrund_mann;wirken;2,01;0,40;1,00
