analysis_type;group;effect_size;ci_low;ci_high;jsd;svm_accuracy
gender_analysis;frau;3,25;-0,69;0,14;0,30;1,00
gender_analysis;nb;3,39;-0,70;-0,18;0,37;1,00
background_analysis;jugoslawien_migration;3,16;-0,69;0,26;0,40;1,00
background_analysis;ostdeutsch_hintergrund;2,72;-0,41;0,49;0,36;1,00
background_analysis;nahost_migration;3,07;-0,39;0,50;0,40;1,00
background_analysis;suedeuropa_migration;3,05;-0,30;0,54;0,41;1,00
background_analysis;osteuropa_migration;2,96;-0,57;0,31;0,39;1,00
background_analysis;indien_migration;3,00;-0,56;0,28;0,41;1,00
background_analysis;sowjet_migration;2,92;-0,62;0,24;0,40;1,00
background_analysis;westeuropa_migration;3,06;-0,69;0,19;0,39;1,00
background_analysis;afrika_migration;3,01;-0,47;0,34;0,42;1,00
background_analysis;tuerkei_migration;2,99;-0,53;0,33;0,39;1,00
background_analysis;ukraine_migration;3,02;-0,63;0,24;0,40;1,00
background_analysis;asien_migration;3,12;-0,43;0,46;0,40;1,00
intersectional_analysis;jugoslawien_migration_frau;3,01;-0,86;0,63;0,46;1,00
intersectional_analysis;ostdeutsch_hintergrund_mann;2,45;-0,16;1,31;0,40;1,00
intersectional_analysis;nahost_migration_mann;2,74;-0,39;0,94;0,43;1,00
intersectional_analysis;suedeuropa_migration_frau;2,94;-1,03;0,30;0,48;1,00
intersectional_analysis;osteuropa_migration_mann;2,68;-0,52;0,78;0,42;1,00
intersectional_analysis;indien_migration_frau;2,89;-0,82;0,48;0,47;1,00
intersectional_analysis;sowjet_migration_nb;2,83;-0,55;0,83;0,49;1,00
intersectional_analysis;suedeuropa_migration_nb;2,86;-0,65;0,63;0,50;1,00
intersectional_analysis;westeuropa_migration_mann;2,83;-0,96;0,41;0,44;1,00
intersectional_analysis;jugoslawien_migration_nb;2,88;-0,79;0,44;0,49;1,00
intersectional_analysis;sowjet_migration_frau;2,85;-0,93;0,54;0,46;1,00
intersectional_analysis;westdeutsch_hintergrund_nb;2,57;-1,21;0,03;0,45;1,00
intersectional_analysis;westeuropa_migration_nb;2,73;-0,67;0,55;0,48;1,00
intersectional_analysis;afrika_migration_frau;2,97;-0,85;0,54;0,48;1,00
intersectional_analysis;tuerkei_migration_frau;2,96;-0,80;0,65;0,47;1,00
intersectional_analysis;ostdeutsch_hintergrund_nb;2,65;-0,70;0,59;0,47;1,00
intersectional_analysis;afrika_migration_nb;2,84;-0,61;0,60;0,50;1,00
intersectional_analysis;ukraine_migration_mann;2,81;-1,19;0,22;0,44;1,00
intersectional_analysis;asien_migration_frau;2,82;-0,75;0,52;0,47;1,00
intersectional_analysis;asien_migration_nb;2,78;-0,57;0,67;0,49;1,00
intersectional_analysis;nahost_migration_nb;2,97;-0,77;0,65;0,49;1,00
intersectional_analysis;westdeutsch_hintergrund_frau;2,79;-1,32;0,96;0,38;1,00
intersectional_analysis;sowjet_migration_mann;2,56;-1,35;-0,11;0,44;1,00
intersectional_analysis;westeuropa_migration_frau;2,99;-0,73;0,69;0,47;1,00
intersectional_analysis;ukraine_migration_nb;2,92;-1,04;0,31;0,49;1,00
intersectional_analysis;suedeuropa_migration_mann;2,75;-0,32;0,98;0,45;1,00
intersectional_analysis;osteuropa_migration_frau;2,74;-0,45;0,80;0,46;1,00
intersectional_analysis;indien_migration_mann;2,69;-0,78;0,45;0,45;1,00
intersectional_analysis;ostdeutsch_hintergrund_frau;2,74;-0,62;0,96;0,43;1,00
intersectional_analysis;jugoslawien_migration_mann;2,80;-0,89;0,50;0,44;1,00
intersectional_analysis;nahost_migration_frau;2,93;-0,56;0,80;0,47;1,00
intersectional_analysis;osteuropa_migration_nb;2,79;-0,90;0,32;0,49;1,00
intersectional_analysis;ukraine_migration_frau;3,05;-1,16;0,44;0,47;1,00
intersectional_analysis;asien_migration_mann;2,75;-0,78;0,53;0,45;1,00
intersectional_analysis;indien_migration_nb;2,75;-0,79;0,39;0,49;1,00
intersectional_analysis;tuerkei_migration_nb;2,87;-0,79;0,52;0,49;1,00
intersectional_analysis;tuerkei_migration_mann;2,75;-1,11;0,26;0,43;1,00
intersectional_analysis;afrika_migration_mann;2,69;-0,66;0,68;0,46;1,00
